ticker,sector
A,Healthcare
AA,Basic Materials
AAL,Industrials
AAN,
AAON,Industrials
AAP,Consumer Cyclical
AAPL,Technology
AAT,Real Estate
AB,Financial Services
ABBV,Healthcare
ABCB,Financial Services
ABEO,Healthcare
ABG,Consumer Cyclical
ABM,Industrials
ABR,Real Estate
ABT,Healthcare
AC,Financial Services
ACAD,Healthcare
ACB,Healthcare
ACEL,Consumer Cyclical
ACES,
ACGL,Financial Services
ACGLO,Financial Services
ACHC,Healthcare
ACI,Consumer Defensive
ACLS,Technology
ACM,Industrials
ACN,Technology
ACRX,
ACST,
ADAP,Healthcare
ADBE,Technology
ADC,Real Estate
ADCT,Healthcare
ADI,Technology
ADM,Consumer Defensive
ADPT,Healthcare
ADSK,Technology
ADT,Industrials
ADTN,Technology
ADUS,Healthcare
ADXN,Healthcare
AEE,Utilities
AEG,Financial Services
AEHR,Technology
AEIS,Industrials
AEL,
AEM,Basic Materials
AEO,Consumer Cyclical
AEP,Utilities
AES,Utilities
AFG,Financial Services
AFGD,
AFL,Financial Services
AFYA,Consumer Defensive
AG,Basic Materials
AGCO,Industrials
AGE,
AGEN,Healthcare
AGG,
AGI,Basic Materials
AGM,Financial Services
AGM-A,Financial Services
AGNC,Real Estate
AGR,
AI,Technology
AIG,Financial Services
AIN,Consumer Cyclical
AIR,Industrials
AIRG,Technology
AIRT,Industrials
AIT,Industrials
AIV,Real Estate
AIZ,Financial Services
AKAM,Technology
AKO-A,Consumer Defensive
AKO-B,Consumer Defensive
AKR,Real Estate
AL,Industrials
ALB,Basic Materials
ALDX,Healthcare
ALE,Utilities
ALG,Industrials
ALGN,Healthcare
ALGT,Industrials
ALIM,
ALK,Industrials
ALKS,Healthcare
ALL,Financial Services
ALLE,Industrials
ALLO,Healthcare
ALLT,Technology
ALNY,Healthcare
ALRS,Financial Services
ALSN,Consumer Cyclical
ALTR,
AM,Energy
AMAL,Financial Services
AMAT,Technology
AMBA,Technology
AMBC,Financial Services
AMC,Communication Services
AMD,Technology
AME,Industrials
AMED,Healthcare
AMEH,
AMG,Financial Services
AMGN,Healthcare
AMH,Real Estate
AMLP,
AMN,Healthcare
AMPE,Healthcare
AMRC,Industrials
AMSC,Industrials
AMSWA,
AMT,Real Estate
AMTX,Basic Materials
AMWD,Consumer Cyclical
AMX,Communication Services
AMZN,Consumer Cyclical
AN,Consumer Cyclical
ANDE,Consumer Defensive
ANET,Technology
ANF,Consumer Cyclical
ANGI,Communication Services
ANGL,
ANIP,Healthcare
ANSS,Technology
ANY,Financial Services
AOA,
AON,Financial Services
AOR,
AP,Industrials
APA,Energy
APD,Basic Materials
APDN,Healthcare
APEI,Consumer Defensive
APH,Technology
APLS,Healthcare
APO,Financial Services
APOG,Industrials
APPF,Technology
APPN,Technology
APPS,Technology
APT,Industrials
APTV,Consumer Cyclical
AR,Energy
ARCB,Industrials
ARCC,Financial Services
ARCH,
ARCO,Consumer Cyclical
ARCT,Healthcare
